year,title,artist,number
2012,거기서거기 (Without You) ,다이나믹 듀오,3665143
2012,아름다운 밤 ,울랄라세션,3798160
2012,Missing You (Feat. 김윤아 Of 자우림) ,G-DRAGON,3906383
2012,굿모닝 (Feat. 권정열 Of 10cm) ,버벌진트,3820695
2012,춥다 (Feat. 이하이) ,에픽하이 (EPIK HIGH),3922586
2012,Touch ,미쓰에이,3713013
2012,너도 나처럼 ,2am,3731994
2012,Volume Up ,4minute,3764899
2012,이상형 ,버스커 버스커,3743293
2012,그XX ,G-DRAGON,3894730
2013,자니 (Feat. Dynamic Duo) ,프라이머리,3726617
2013,눈물 (Feat. 유진 Of 더 씨야) ,리쌍,4020215
2013,NoNoNo ,Apink (에이핑크),4163116
2013,눈물샤워 (Feat. 에일리) ,배치기,4011596
2013,"? (물음표) (Feat. 최자 Of 다이나믹듀오, Zion.T) ",프라이머리,3947371
2013,Give It To Me ,씨스타,4138606
2013,이름이 뭐예요? ,4minute,4099280
2013,모노드라마 (With 유승우) ,허각,4019298
2013,My Love ,이승철,4142913
2013,있다 없으니까 (Gone Not Around Any Longer) ,씨스타19,4024692
2013,미친연애 (Bad Girl) (Feat. E-Sens Of 슈프림팀) ,범키,4130922
2013,으르렁 (Growl) ,EXO,4193337
2013,거북이 ,다비치,4047160
2013,GENTLEMAN ,싸이 (PSY),4085875
2013,"Officially Missing You, Too ",긱스 (Geeks),3946867
2013,봄봄봄 ,로이킴,4091105
2013,Touch Love ,윤미래,4221128
2013,아는사람 얘기 ,San E (산이),4192787
2013,U & I ,에일리(Ailee),4171462
2013,BAAAM (Feat. Muzie Of UV) ,다이나믹 듀오,4160246
2013,착해 빠졌어 (Stupid In Love) ,소유 (SOYOU),4237755
2013,빠빠빠 ,크레용팝,4148967
2013,녹는 중 (Feat. 버벌진트) ,다비치,4072715
2013,짧은머리 ,허각,4129672
2013,벚꽃 엔딩 ,버스커 버스커,3753304
2013,처음엔 사랑이란게 ,버스커 버스커,4252728
2013,오늘따라 보고싶어서 그래 ,다비치,4163613
2013,오늘 밤 (Feat. 배치기) ,린,4082435
2013,청혼하는 거예요 ,포맨 (4MEN),4108714
2013,Crescendo (크레셴도) ,AKMU (악뮤),4053240
2013,Love Blossom (러브블러썸) ,케이윌,4076051
2013,"씨스루 (Feat. Zion.T, 개코 Of 다이나믹듀오) ",프라이머리,3948908
2013,갖고놀래 (Feat. 다이나믹 듀오) ,범키,4205993
2013,삐딱하게 (Crooked) ,G-DRAGON,4232200
2013,I Love You ,AKMU (악뮤),4097003
2013,기대해 ,걸스데이,4054983
2013,안녕 나야 ,포맨 (4MEN),4021445
2013,분홍신 ,아이유,4268435
2013,나란놈이란 ,임창정,4249547
2013,Wash Away (Feat. 에일리) ,긱스 (Geeks),4100521
